Kingdom	Phylum	Class	Order	Family	Genus	Species	gtdb	kegg	PhaC_status
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Brevifollis	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	DEV114	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Oikopleura	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	DEV008	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Genus_of_Pedosphaeraceae	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	NA	NA	NA	Unknown
Bacteria	Planctomycetota	vadinHA49	vadinHA49	vadinHA49	vadinHA49	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Phycisphaerae	Pla1_lineage	Pla1_lineage	Pla1_lineage	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3_termite_group	CPla-3_termite_group	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaeraceae	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	NA	NA	NA	Unknown
Bacteria	Planctomycetota	Class of Planctomycetota	Order of Planctomycetota	Family of Planctomycetota	Genus_of_Planctomycetota	NA	NA	NA	Unknown
Bacteria	Planctomycetota	BD7-11	BD7-11	BD7-11	BD7-11	NA	NA	NA	Unknown
Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	NA	NA	NA	Unknown
Bacteria	Planctomycetota	028H05-P-BN-P5	028H05-P-BN-P5	028H05-P-BN-P5	028H05-P-BN-P5	NA	NA	NA	Unknown
